UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL,keyword
rrr,@ristyarisris,2021-04-17T08:07:42.000Z,"Biarin dia kelar sama urusane dulu
Gabole ikut campur
Kamu bukan es campur
Ehehehe",,,1,,1,[],https://twitter.com/ristyarisris/status/1383331322098188289,es campur
agil,@fragilityy_,2021-04-17T10:26:15.000Z,yaallah aku beli es campur sampe beli 2 saking hausnya,,😣 😣,3,,2,[],https://twitter.com/fragilityy_/status/1383366186340028421,es campur
zivaal,@wrwrzzz,2021-04-23T05:52:56.000Z,siang gini liat teh botol kaya teh botol Sosro,,,124,,12,[],https://twitter.com/wrwrzzz/status/1385471731259740160,es campur
rimaaa l camaba 2021,@americanocoff,2021-04-23T06:59:37.000Z,lebih enak es campur,,,,,,[],https://twitter.com/americanocoff/status/1385488515819921408,es campur
-,@orangpentingggg,2021-04-23T09:09:07.000Z,yaallah buka masi lama,,,3,,2,[],https://twitter.com/orangpentingggg/status/1385521103179816969,es campur
REZ - GIVEAWAY CEK PINNED!,@doyan_esteh,2021-04-23T09:14:31.000Z,Es campur es kolak menanti,,🥃,,,,[],https://twitter.com/doyan_esteh/status/1385522462704640001,es campur
Dils~,@padiiiilllll,2021-04-25T09:35:25.000Z,"pengen spaghetti, pengen durian, pengen es campur, pengen eskrim, pengen rendang. pengen pengen pengen.",,,,,,[],https://twitter.com/padiiiilllll/status/1386252499942707200,es campur
saneee,@alreadysane,2021-04-25T07:09:21.000Z,"wes kesel, ditambahi mangkel, wallahi nganti raiso nahan misuh aku, cocote lho menyimpulkan sendiri senengane, ki udu masalah syukur ra syukur su, loro mental yo mental, aku dikon ngalah terus yo remuk lah bajingan, tau reti rak berita wong mati mergo mangan ati? asu asu",,,2,,2,[],https://twitter.com/alreadysane/status/1386215738088689676,es campur
REZ - GIVEAWAY CEK PINNED!,@doyan_esteh,2021-04-25T07:20:08.000Z,Mik es campur ben adem pikirane,,🥃,,,,[],https://twitter.com/doyan_esteh/status/1386218452558368773,es campur
Tour Driver Jogja,@SewaMobilYogya,2021-04-26T06:05:02.000Z,33°C jajanan buka puasa nanti sore paling laku minuman dingin seperti es campur dan es kelapa,,,,,,['https://pbs.twimg.com/media/Ez4OtuMVcAAMINd?format=jpg&name=small'],https://twitter.com/SewaMobilYogya/status/1386561942312034305,es campur
Shopee Indonesia,@ShopeeID,2021-04-26T10:25:40.000Z,"Sore Sobat Shopee, udah pada tau belum nih mau buka pakai apa hari ini? ",,☺,60,12,269,[],https://twitter.com/ShopeeID/status/1386627531265114114,es campur
Irma_Suryani8489,@Irma_Suryani789,2021-04-26T10:30:03.000Z,Buka ma gorengan n es campur ,,😍 😇 😁,,,1,[],https://twitter.com/Irma_Suryani789/status/1386628632970371072,es campur
mas jekkk,@mkhbill,2021-04-23T09:42:45.000Z,info es campur seng seger lurrr,,,2,,,[],https://twitter.com/mkhbill/status/1385529569042591750,es campur
MLBB Menfess,@mlbbfess,2021-04-24T11:06:26.000Z,"Ml! No salty, menurut kalian dpt sebuah komponen tim (supp, tank, core, side, offlaner)  dr masing2 role siapa yg harus paling kuat mental?",,,36,,,[],https://twitter.com/mlbbfess/status/1385913015162208262,es campur
Mas Blek,@RioCndr,2021-04-24T11:25:39.000Z,core = rebutan turtel / lord gadapaet ( retri indomaret spbu  es campur alfamart tambal ban dll ),,,,,,[],https://twitter.com/RioCndr/status/1385917852004225027,es campur
"f
rel",@farellllllllll,2021-04-26T06:39:00.000Z,panas bgt yaAllah,"The following media includes potentially sensitive content. Change settings
View",🅰,5,,2,[],https://twitter.com/farellllllllll/status/1386570489741463555,es campur
gemoi,@gvlajava,2021-04-26T06:40:15.000Z,es campur enak kali ye,,,1,,,[],https://twitter.com/gvlajava/status/1386570804133990400,es campur
Just call me Q,@MisterQ_14,2021-04-24T07:17:08.000Z,"Replying to 
@ridoyando2011
 and 
@arifsetia2013d",dawet tu apa?,😎,1,1,2,[],https://twitter.com/MisterQ_14/status/1385855312041631746,es dawet
rido_,@ridoyando2011,2021-04-24T07:21:10.000Z,"Cendol bang, bahasa jawanya dawet. Es cendol / es dawet. Paling terkenal es dawet ayu dari banjarnegara. Isinya cendol, pulut tape, alpukat/alvokado, durian dengan kuah santan, gula cair yg dimasak dengan nangka dan serutan ais batu.",,,,3,3,[],https://twitter.com/ridoyando2011/status/1385856324597026818,es dawet
Dimas Arya,@dimasarr11,2021-04-23T07:44:19.000Z,"Replying to 
@dipraal_",Nek es dawet komplit biasane. Ono cendol+bubur kui mau,,1,,,[],https://twitter.com/dimasarr11/status/1385499764683247616,es dawet
Riski Gunardi,@BinSunar,2021-04-26T07:01:10.000Z,"Height : 173 cm
Age : 25 tahun
Shoes size : 43
Zodiac : sagitarius
Tattos : -
Fav drink : es dawet
Fav food : sate kambing
Fav animal : kupu-kupu","Quote Tweet
𝑭𝒂𝒓𝒂𝒔007
@fara_salsaa
 · 26 Apr
Height        : 155 cm
Age            : 25 tahun 
Shoes size : 38
Zodiac       : gemini
Tattos        : -
Fav drink   : air putih
Fav food    : dimsum 
Fav animal :ga ada twitter.com/cuvple/status/…",,,,,['https://pbs.twimg.com/profile_images/1351075394607312896/2kL1Obx9_mini.jpg'],https://twitter.com/BinSunar/status/1386576067947745284,es dawet
tasya,@gudetasya,2021-04-24T09:34:15.000Z,Saran takjil apa yg enak,,,53,6,477,[],https://twitter.com/gudetasya/status/1385889817934766085,es dawet
Ardian Rendra,@ardianrendra_,2021-04-24T09:35:33.000Z,Es dawet tape ketan,,,,,,[],https://twitter.com/ardianrendra_/status/1385890141768663041,es dawet
D'Q,@Dicky_Zman,2021-04-24T09:41:26.000Z,"Replying to 
@gudetasya","Es dawet, makanan nya bakwan jagung",,,,,[],https://twitter.com/Dicky_Zman/status/1385891623251288066,es dawet
ica,@tavisha__,2021-04-26T07:37:09.000Z,es dawet seger ketoe,,,5,,2,[],https://twitter.com/tavisha__/status/1386585124980940806,es dawet
Munyuk,@Mamatrozi3,2021-04-26T10:49:47.000Z,"Replying to 
@_p_ady",Es cendol dawet..,,1,,,[],https://twitter.com/Mamatrozi3/status/1386633600741691395,es dawet
TOM'S,@RonoReneRemen,2021-04-21T10:55:33.000Z,"Ws kelebon es cincau, gorengan trs ngerokok.
Meripatku langsung padang. ",,😅,,,1,[],https://twitter.com/RonoReneRemen/status/1384823111451766786,es cincau
rido_,@ridoyando2011,2021-04-24T06:11:47.000Z,"Dulu kalau waktu berbuka, arwah emak paling favorit menyediakan menu berbuka :
1. Nasi liwet
2. Pecel lung brambang asem
3. Tempe, tahu dan tempe 
    gembus bacem
4. kerupuk
5. Es cincau kolang kaling 
    dengan sirup ceri merah.",,,3,,11,[],https://twitter.com/ridoyando2011/status/1385838864367906816,es cincau
dams,@kanjengwoojin,2021-04-26T11:51:59.000Z,"Replying to 
@FOOD_FESS","Es cao ngga sih?
Yg isiannya blewah sma cincau hitam trs di kasih sirup biasanya",,,,,[],https://twitter.com/kanjengwoojin/status/1386649254517645324,es cincau
Bebeb Bohner,@babibonbon,2021-04-25T11:23:01.000Z,"tadi sore nimbang, turun sekilo. barusan abis buka puasa naik lagi setengah kilo 
 padahal cm makan tahu petis sebiji sama es kelapa muda segelas ",,🤣 🤣 🤣 🤣 🤣 🤣 🤣,,,,[],https://twitter.com/babibonbon/status/1386279575240331264,es kelapa muda
Ayaaa,@imyourwaifuu,2021-04-26T21:07:49.000Z,"Replying to 
@mkhbill",Kasih yg seger2,🍒,1,,,[],https://twitter.com/imyourwaifuu/status/1386789132400136193,es kelapa muda
mas jekkk,@mkhbill,2021-04-26T21:09:21.000Z,es kelapa muda ,,,1,,,[],https://twitter.com/mkhbill/status/1386789517919612931,es kelapa muda
Fael,@wijanarkofaela,2021-04-26T06:48:23.000Z,"Replying to 
@andryyudhap",Es kelapa muda ,🥵 🤤,,,,[],https://twitter.com/wijanarkofaela/status/1386572850270638087,es kelapa muda
Ema R. Mel,@pencoret,2021-04-22T11:52:16.000Z,"Replying to 
@pencoret","Arsip menu buka puasa 2021
#kangenmasakanIbu

Hari kesepuluh
Nasi Kakap asam manis
Capcay
Mendoan
*sponsor kantor

Kurma keju 
Es sirup selasih",,1,,,[],https://twitter.com/pencoret/status/1385199774287073280,es kelapa muda
Ema R. Mel,@pencoret,2021-04-26T13:06:16.000Z,"Arsip menu buka puasa 2021
#kangenmasakanIbu

Hari kesebelas
Nasi
Bakso Pak Dalimin
Tahu Bacem
Es Kelapa Muda
*sponsor kantor",,,1,,,[],https://twitter.com/pencoret/status/1386667947658076163,es kelapa muda
hy,@anduktosca,2021-04-26T08:24:38.000Z,"Daah, ak otw ngabuburit dlu yaa",,,9,,15,['https://pbs.twimg.com/media/Ez4usGpUYAUKvOC?format=jpg&name=medium'],https://twitter.com/anduktosca/status/1386597073294815240,es kelapa muda
ga,@margams_,2021-04-26T10:03:13.000Z,nitip es kelapa muda sa,,😂,1,,,[],https://twitter.com/margams_/status/1386621880912605184,es kelapa muda
