UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL,keyword
AM,@Alii_Mahrus,2021-04-28T07:59:40.000Z,Es Cincau enak kali buat buka puasa,,,,,,[],https://twitter.com/Alii_Mahrus/status/1387315564931018754,es cincau
Hazel,@dixydustt,2021-04-28T04:43:17.000Z,Kirain mau buat es selasih sama cincau..,"Quote Tweet
Bukan Akun Religius
@heeburan
 · 28 Apr
I tought it was dragon fruit at the beginning.",🐸 🐸,,,,"['https://pbs.twimg.com/profile_images/1384638903303294978/Af4AY_KH_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1387263964703182849/pu/img/dFOmQkuubec3i1K8.jpg']",https://twitter.com/dixydustt/status/1387266144717864961,es cincau
𝐨𝐜𝐡𝐢.,@betterloverosie,2021-04-28T10:23:51.000Z,"-+ 160
2.....
39
Cancer
No.
3
es cincau pandannya janjiw
Semua kecuali ikan dan sayur.
Panda panda lalala","Quote Tweet
ON - Tanyarl
@bertanyarl
 · 27 Apr
tanyarl ayo main inii!!

Height :
Age :
Shoes size :
Zodiac :
Tattos :
Piercings :
Fav drink :
Fav food :
Fav animal :",,,,,['https://pbs.twimg.com/profile_images/1381046995322765316/HsI_FiWI_mini.jpg'],https://twitter.com/betterloverosie/status/1387351851826253829,es cincau
Koh Santoso,@omdjinn,2021-04-28T10:51:35.000Z,"Di resto
Temen mesen es cincau, gw mesen teh tawar
Cincau muncul duluan, teh tawar ga keluar keluar
Hemmm",,,1.0,,,[],https://twitter.com/omdjinn/status/1387358830338535424,es cincau
pablo es cincau,@lilpanss,2021-04-28T08:39:08.000Z,pada akhir nya kita kembali lagi dengan hati dan rasa yang sama,,,,,,[],https://twitter.com/lilpanss/status/1387325497206468611,es cincau
pablo es cincau,@lilpanss,2021-04-28T06:46:12.000Z,"jangan datang lalu pergi, nyatanya cinta tidak sebercanda itu",,,1.0,,1,[],https://twitter.com/lilpanss/status/1387297076996833284,es cincau
#KeepTheFaith,@NujYek,2021-04-28T10:46:46.000Z,"Ada es teh, es susu cincau, es buah bang epul. Edann mau hajar yg mana dulu ini? wargaaaaaa",,,,,,[],https://twitter.com/NujYek/status/1387357616498626569,es cincau
Es Cincau Hitam,@Ditto_cn,2021-04-28T08:33:14.000Z,"Kata orang nangis doang gak bakal nyelesein masalah, tp kalo udah stress banget + males mikir, nangis tuh ide terbaik wkwkw",,,2.0,,,[],https://twitter.com/Ditto_cn/status/1387324011013570565,es cincau
Alvionita Astiti,@alvionitastiti,2021-04-28T15:38:35.000Z,Ibu kalo dah ngidam bnr2 ya wkwk jam segini dijabanin bikin es cincau sepanci bknnya td pas buka,,,1.0,,,[],https://twitter.com/alvionitastiti/status/1387431053929840645,es cincau
,@sixstepjohn,2021-04-28T10:36:08.000Z,saatnya cuci muka pake es cincau,,,,,,[],https://twitter.com/sixstepjohn/status/1387354941577043969,es cincau
